Project_Name,Project_URL,Project_Hash
lineflow,https://github.com/yasufumy/lineflow,677ed8ba2374f084d58864c2027a7d0245e8f198
abagen,https://github.com/rmarkello/abagen,4af521f6d7e71d4bbebb4960ff2447256e2447eb
pyradigm,https://github.com/raamana/pyradigm,01d47cf34a9af4bb104e2891559059a522221b4d
python-cuckoo,https://github.com/Leechael/python-cuckoo,fa7a87cd482e8a204c94b860c3066c3c1813ff36
pytvdb,https://github.com/jwbaker/pytvdb,39f00896ed1bed1f1dabe05f73980c9455c502df
pyupload,https://github.com/yukinotenshi/pyupload,32fb1ea1eb38c14e1fa2b23e7a923448625c1946
reframe,https://github.com/eth-cscs/reframe,576eb3f1dcc015d1e6d7a10602c748d4f810da68
sureal,https://github.com/Netflix/sureal,e7251384cd5f6a293e05d1450d5e8f353d137c1c
torchgan,https://github.com/torchgan/torchgan,fc8b01a1b34d0f19c4860ff6dac2568d357fe069
vault-dev,https://github.com/vimc/vault-dev,ccec5a246e4c05358a57fb68d821a16910d2a125
verif,https://github.com/WFRT/verif,dd4df8e5709e9ec1a8fe129fe9a14d4f63d93643
wordoftheday,https://github.com/patrickc-dev/wordoftheday,35439b87e782199813933ae6bddbfd1c6cea2b6c
dicom-standard,https://github.com/innolitics/dicom-standard,4d40ca75e3af51dd8fc2b027a7f79b6a2f4193cb
nipype,https://github.com/nipy/nipype,f2a2034c5198d955318d76163dee9562314d1eb0
gwosc,https://github.com/gwpy/gwosc,06b56ce506fda3af4857c8a1aae7bb60fb1925e9
cityseer,https://github.com/cityseer/cityseer,2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0
addon-check,https://github.com/xbmc/addon-check,35cde58ed8b22b8df27efe232d9b2b2c25b079d5
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd
discovery-client,https://github.com/tomwei7/discovery-client,b10094532ae22eaebd9d093f9550fa75886a3a88
dns-over-https,https://github.com/wglodek/dns-over-https,af56580149c8570ea3ba6ea3a5b5b12cf3dadfd2
packeteer,https://github.com/lungdart/packeteer,2c6e0e8683462e17ff095a89f13a10daf29ef9e0
pymannkendall,https://github.com/mmhs013/pymannkendall,081a1dec1456b682f0f86488b50d47f9f97ec9dd
svp,https://github.com/joshmgrant/svp,fdf64445d8038b4df5ab2181eb6306d56e3b5162
thredds_crawler,https://github.com/ioos/thredds_crawler,fb29ea2fb8d079cacc6c09f79245e8f54f77c6a6
truffleHog,https://github.com/MechanicalRock/truffleHog,5e7f32d4005f82e66b2b9ccd44fcac8e02c1aa34
compyle,https://github.com/pypr/compyle,f557e49c7e18a49efdb5807ac650ba590db81cb2
token-io,https://github.com/overcat/token-io,f1b14fef9fd64989b9c9e5c076272f72253b39ed
fontMath,https://github.com/robotools/fontMath,7f84204033c2d0a284d02e626320ee27c3dfa5ee
mgun,https://github.com/maximdanilchenko/mgun,11540dd661afd2e8a18dd74ca0a5b416f671a4a1
yunomi,https://github.com/dreid/yunomi,1aa3f166843613331b38e231264ffc3ac40e8094
zenmake,https://github.com/pustotnik/zenmake,6cff05114cea34fc204d9e95422f11dc25cd1228
spreading_dye_sampler,https://github.com/NLeSC/spreading_dye_sampler,4282f7609959a31d1b2a4832f3ed643b15c46cb6
